"name","name_ar","sku","price","sale_price","quantity","is_infinite","is_taxable","requires_shipping","is_draft","description","short_description","categories","images","weight","barcode"
"APC Back-UPS Pro","APC Back-UPS Pro","NGS-APC-MIS-0305","699","","10","FALSE","TRUE","TRUE","FALSE","APC Back-UPS Pro available at NGS Smart Home Store. Price: 699 SAR.","APC Back-UPS Pro &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-APC-MIS-0305.webp","",""
"Shelly 3EM","Shelly 3EM","NGS-SHE-MIS-0304","399","","10","FALSE","TRUE","TRUE","FALSE","Shelly 3EM available at NGS Smart Home Store. Price: 399 SAR.","Shelly 3EM &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-SHE-MIS-0304.webp","",""
"Emporia Vue 2","Emporia Vue 2","NGS-EMP-MIS-0303","399","","10","FALSE","TRUE","TRUE","FALSE","Emporia Vue 2 available at NGS Smart Home Store. Price: 399 SAR.","Emporia Vue 2 &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-EMP-MIS-0303.webp","",""
"SwitchBot Bot","SwitchBot Bot","NGS-SWI-MIS-0302","129","","10","FALSE","TRUE","TRUE","FALSE","SwitchBot Bot available at NGS Smart Home Store. Price: 129 SAR.","SwitchBot Bot &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-SWI-MIS-0302.webp","",""
"Xiaomi X10","Xiaomi X10","NGS-XIA-VAC-0301","2499","","10","FALSE","TRUE","TRUE","FALSE","Xiaomi X10 available at NGS Smart Home Store. Price: 2499 SAR.","Xiaomi X10 &#8211; Smart Home Product","مكانس ذكية","https://neogen.store/wp-content/uploads/NGS-XIA-VAC-0301.webp","",""
"Dreame L10s Ultra","Dreame L10s Ultra","NGS-DRE-VAC-0300","3499","","10","FALSE","TRUE","TRUE","FALSE","Dreame L10s Ultra available at NGS Smart Home Store. Price: 3499 SAR.","Dreame L10s Ultra &#8211; Smart Home Product","مكانس ذكية","https://neogen.store/wp-content/uploads/NGS-DRE-VAC-0300.webp","",""
"Roborock Q5 Pro","Roborock Q5 Pro","NGS-ROB-VAC-0299","1799","","10","FALSE","TRUE","TRUE","FALSE","Roborock Q5 Pro available at NGS Smart Home Store. Price: 1799 SAR.","Roborock Q5 Pro &#8211; Smart Home Product","مكانس ذكية","https://neogen.store/wp-content/uploads/NGS-ROB-VAC-0299.webp","",""
"Roborock S8 MaxV Ultra","Roborock S8 MaxV Ultra","NGS-ROB-VAC-0298","5499","","10","FALSE","TRUE","TRUE","FALSE","Roborock S8 MaxV Ultra available at NGS Smart Home Store. Price: 5499 SAR.","Roborock S8 MaxV Ultra &#8211; Smart Home Product","مكانس ذكية","https://neogen.store/wp-content/uploads/NGS-ROB-VAC-0298.webp","",""
"Roborock S8 Pro Ultra","Roborock S8 Pro Ultra","NGS-ROB-VAC-0297","4499","","10","FALSE","TRUE","TRUE","FALSE","Roborock S8 Pro Ultra available at NGS Smart Home Store. Price: 4499 SAR.","Roborock S8 Pro Ultra &#8211; Smart Home Product","مكانس ذكية","https://neogen.store/wp-content/uploads/NGS-ROB-VAC-0297.webp","",""
"Google Nest Hub 2","Google Nest Hub 2","NGS-GOO-VOI-0295","449","","10","FALSE","TRUE","TRUE","FALSE","Google Nest Hub 2 available at NGS Smart Home Store. Price: 449 SAR.","Google Nest Hub 2 &#8211; Smart Home Product","أجهزة صوتية","https://neogen.store/wp-content/uploads/NGS-GOO-VOI-0295.webp","",""
